name,description
Dito Tsintsadze,Dito Tsintsadze (Georgian: დიტო ცინცაძე; born 1957) is a Georgian film director and screenwriter. He has directed eleven films since 1988. His film Lost Killers was screened in the Un Certain Regard section at the 2000 Cannes Film Festival.
Diva Zappa,"Diva Thin Muffin Pigeen Zappa (born July 30, 1979) is an American artist, also known for several acting roles in film and television, as well as recording a one-off comedy single. She is the youngest daughter of musician Frank Zappa."
Dizzy Reed,"Dizzy Reed (born Darren Arthur Reed; June 18, 1963) is a contemporary rock musician, and occasional actor. He is best known for his tenure as the keyboardist, pianist and percussionist for the rock band Guns N' Roses, with whom he has played, toured and recorded since 1990. Aside from frontman Axl Rose, Reed is the longest-standing and only member of Guns N' Roses to remain from the band's Use Your Illusion era. In 2012, he was inducted into the Rock and Roll Hall of Fame as a member of Guns N' Roses, although he did not attend the ceremony."
Django Bates,"Django Bates (born 2 October 1960), is a composer, multi-instrumentalist and band leader. He plays the piano, keyboards and the tenor horn. He writes large scale compositions on commission."
Djedefhor,"Djedefhor or Hordjedef was an ancient Egyptian prince of the 4th dynasty. His name means ""Enduring Like Horus""."
Djimon Hounsou,"Djimon Gaston Hounsou is a Beninese-born American actor and model. As an actor, Hounsou has been nominated for two Academy Awards."
Dobie Gray,"Dobie Gray (July 26, 1940 – December 6, 2011) was an American singer and songwriter, whose musical career spanned soul, country, pop, and musical theater. His hit records included ""The 'In' Crowd"" in 1965 and ""Drift Away"", which was one of the biggest hits of 1973, sold over one million copies, and remains a staple of radio airplay."
Doc Savage,"Doc Savage is a fictional character originally published in American pulp magazines during the 1930s and 1940s. He was created by publisher Henry W. Ralston and editor John L. Nanovic at Street and Smith Publications, with additional material contributed by the series' main writer, Lester Dent. The heroic-adventure character would go on to appear in several other media, including radio, film, and comic books, with his adventures reprinted for modern-day audiences in series of paperback books. Into the 21st century, Doc Savage has remained a nostalgic icon in the U.S. , referenced in novels and in popular culture."
Doc Watson,"Arthel Lane ""Doc"" Watson (March 3, 1923 – May 29, 2012) was an American guitarist, songwriter and singer of bluegrass, folk, country, blues and gospel music. Watson won seven Grammy awards as well as a Grammy Lifetime Achievement Award. Watson's flatpicking skills and knowledge of traditional American music are highly regarded. He performed with his son Merle for over 15 years until Merle's death in 1985 in an accident on the family farm."
Dodi Fayed,"Emad El-Din Mohamed Abdel Moneim Fayed, usually known as Dodi Fayed (15 April 1955 – 31 August 1997) was the son of Egyptian billionaire Mohamed Al-Fayed. He was best known as the boyfriend of Diana, Princess of Wales, with whom he died in a car crash in Paris on 31 August 1997. He was employed by his father, Mohamed Al-Fayed, billionaire owner of Harrods department store, and also worked as a film producer."
Dolcenera,"Emanuela Trane (born 16 May 1977), better known by her stage name Dolcenera, is an Italian singer, songwriter and actress. She rose to fame in 2003, after winning the newcomers' section of the Sanremo Music Festival, but she achieved commercial success in Italy only in 2005, when she won the music-based reality show Music Farm and she released her sophomore album, Un mondo perfetto. In 2005 she was also awarded Best New Artist of the Year at the Italian Meeting of Independent Record Labels and she received the De Andrè Award for Best Emerging Artist. Dolcenera participated again in the Sanremo Music Festival in 2006—when she sang the hit single ""Com'è straordinaria la vita"", included in the album Il popolo dei sogni—and in 2009, singing ""Il mio amore unico"", from her fourth studio set Dolcenera nel paese delle meraviglie, the first one released by a major label, Sony Music. After signing with EMI, she released her fifth studio album in 2011, titled Evoluzione della specie. During the same year, she appeared on the Italian version of Professor Green's single ""Read All About It (Tutto quello che devi sapere)"", which was also included in the 2012 edition of Evoluzione della specie, released after Dolcenera's participation in the Sanremo Music Festival 2012 with ""Ci vediamo a casa""."
Domingo Cavallo,"Domingo Felipe ""Mingo"" Cavallo (born July 21, 1946) is an Argentine economist and politician. He has a long history of public service and is known for implementing the Convertibilidad plan, which fixed the dollar-peso exchange rate at 1:1 between 1991 and 2001, which brought the Argentine inflation rate down from over 1,300% in 1990 to less than 20% in 1992 and nearly zero during the rest of the 1990s. He is also well known for implementing the corralito, which restrained savers from withdrawing the total amount of their own money from bank accounts, but allowed them to operate bank transactions and was followed by the December 2001 riots and the fall of President Fernando de la Rúa."
Domingo Santa María,"Domingo Santa María González (August 4, 1825 - July 18, 1889) was a Chilean political figure. He served as the president of Chile between 1881 and 1886."
Domingo Tarasconi,"Domingo Alberto Tarasconi (20 December 1903 – 3 July 1991) is a former Argentine football striker. He played most of his career for Boca Juniors where he was Club topscorer on 5 occasions and Argentine Primera league topscorer on 5 occasions (1922, 1923, 1924 and 1934)."
Domingos Alexandre Martins Costa,"Domingos Alexandre Martins Costa (born 6 September 1979 in Guimarães), aka Alex, is a Portuguese footballer who plays for Vitória de Guimarães in the Portuguese first division. Mainly a right defender, he can also appear as a midfielder."
Domingos Sequeira,Domingos António de Sequeira (Lisbon ; 10 March 1768 - Rome; 8 March 1837) was a famous Portuguese painter at the Royal Court of King John VI of Portugal.
Dominguito del Val,"Saint Dominguito del Val (died c. 1250) was a choirboy and the alleged victim of a ritual murder by Jews in Zaragoza (also known as Saragossa). Dominguito's story is related to the blood libel against Jews that grew in prominence in the 12th and 13th centuries of the Middle Ages, and contributed to antisemitic incidents. Saint Dominguito is no longer included on the official Roman Catholic liturgical calendar; however, there is still a chapel dedicated to him in the cathedral of Zaragoza. There exists little historical evidence of Dominguito aside from the stories and legends built around him; it is difficult to ascertain how much, if any, his story is true. According to the story, the Jews of Zaragoza plotted to kill every Christian in Zaragoza. The magic ritual to do so required a Christian heart. They captured the innocent Dominguito on Good Friday, re-enacted Jesus's trial by Pilate and Caiaphas in celebration with Dominguito as Jesus, then ritually murdered him via crucifixion. Luckily for the Christians, the blackguard sent to finish the ritual stopped by a church for unclear reasons and was found with the boy's heart. He confessed, and all the Jews of Zaragoza were executed due to their murderous, and likely fictional, plot. Dominguito del Val is considered the patron saint of altar boys, acolytes, and choirboys."
Dominic Adiyiah,"Dominic Adiyiah (born 29 November 1989) is a Ghanaian professional footballer, who plays as a striker for Ukrainian Premier League club Arsenal Kyiv."
Dominic Barberi,"Blessed Dominic of the Mother of God, born Dominic Barberi (22 June 1792 - 27 August 1849) was an Italian theologian and a member of the Passionist Congregation. He was beatified by Pope Paul VI in 1963."
Dominic Keating,"Dominic Keating (born 1 July 1962) is a British television, film and theatre actor, known for his portrayal as Lt. Malcolm Reed on Star Trek: Enterprise."
Dominic Purcell,"Dominic Haakon Myrtvedt Purcell (born 17 February 1970) is an English-born Australian actor, best known for his roles as Lincoln Burrows in Prison Break, the titlular character in John Doe, and Dracula in Blade: Trinity."
Dominik Eulberg,"Dominik Eulberg, born in 1978 in Westerwald, Germany is an electronic music artist and disc jockey who has released numerous singles as well as full-length albums on labels such as Cocoon Recordings and Traum Schallplatten. He occasionally works as a park ranger in German National parks, an occupation he plans to pursue full time in the near future after retiring from music."
Dominik Schmidt,Dominik Schmidt (born 1 July 1987 in Berlin) is a German footballer who plays as a defender for Preußen Münster.
Dominikus Böhm,"Dominikus Böhm (October 23, 1880 – August 6, 1955) was a German architect specializing in churches. He built churches in Cologne, the Ruhr area, Swabia, and Hesse. Many of his buildings are examples of Brick Expressionism."
Dominique Besnehard,"Dominique Besnehard (born 5 February 1954) is a French actor, film producer and talent manager. He has appeared in over 80 films and television shows since 1975. He starred in the 1983 film À nos amours, which was entered into the 34th Berlin International Film Festival."
Dominique Colonna,"Dominique Colonna (born 4 September 1928 in Corte, Haute-Corse) is a former French footballer who played goalkeeper"
Dominique Cornu,"Dominique Cornu (born 10 October 1985 in Beveren) is a Belgian road and track cyclist from Flanders, currently riding for UCI Professional Continental team Topsport Vlaanderen-Baloise. He specializes in the time trial discipline. At the 2006 World Cycling Championship he was crowned U23 Time Trial World Champion. He had previously won the Junior Belgian Time Trial Championship in 2003 and 2004, and in 2005 he became the Belgian U23 time trial Champion. Cornu is also an accomplished track cyclist, winning the Individual Pursuit at the 2006 Belgian Track Cycling Championships. In addition to Cornu's time trialing skills he is also a promising cobblestone rider, having won the U23 edition of the prestigious Omloop ""Het Volk"" cycling classic in 2006."
Dominique Dunne,"Dominique Ellen Dunne (November 23, 1959 – November 4, 1982) was an American stage, film and television actress. Dunne made appearances in several television movies and series during the late 1970s and early 1980s. Her only film role was as the oldest daughter, Dana Freeling, in the 1982 horror film Poltergeist. She was strangled by her former boyfriend in the driveway of her West Hollywood home on October 30, 1982. Dunne never regained consciousness and died after being declared brain dead five days later at the age of 22."
Dominique Horwitz,"Dominique Horwitz (born April 23, 1957) is a French film and television actor and singer."
Dominique Othenin-Girard,"Dominique Othenin-Girard (born 2 October 1958) is a Swiss French-speaking film and television director, and writer. Girard was born to a French-speaking family in Le Locle, Neuchâtel, Switzerland. He is best known for directing Halloween 5: The Revenge of Michael Myers, Omen IV: The Awakening, and The Crusaders. His 1985 film After Darkness was entered into the 35th Berlin International Film Festival."
Dominique Pinon,"Dominique Pinon (born 4 March 1955) is a French actor. Pinon was born in Saumur, France. His most famous roles have been in the films of Jean-Pierre Jeunet and Jean-Jacques Beineix. In the theatre, he has appeared in the plays of Gildas Bourdet, Jorge Lavelli and Valère Novarina. He has also appeared in three films by British horror director Johannes Roberts, the last of these being When Evil Calls (2006), the world's first horror series for mobile phones. He received the Molière Award for Best Actor in 2004."
Dominique Swain,"Dominique Ariane Swain (born August 12, 1980) is an American actress. She is best known for her roles as the title character in the 1997 film adaptation of Vladimir Nabokov's novel Lolita, and as Jamie Archer in the film Face/Off."
Dominique Wilkins,"Jacques Dominique Wilkins (born January 12, 1960) is a retired American professional basketball player who primarily played for the Atlanta Hawks of the NBA. Wilkins was a nine-time NBA All-Star, and one of the best dunkers in NBA history, earning the nickname ""The Human Highlight Film. "" In 2006, Wilkins was inducted into the Naismith Memorial Basketball Hall of Fame http://www. hoophall. com/hall-of-famers/tag/jacques-dominique-wilkins."
Don Airey,"Donald (Don) Airey (born 21 June 1948 in Sunderland, England) has been the keyboardist in the rock band Deep Purple since 2002, succeeding Jon Lord. He has had a long and productive career, playing with such acts as Gary Moore, Ozzy Osbourne, Judas Priest, Black Sabbath, Jethro Tull, Whitesnake, Colosseum II, Sinner, Michael Schenker, Uli Jon Roth, Rainbow, Ten, Divlje jagode and Living Loud. He has also worked with Andrew Lloyd Webber."
Don Alias,"Charles 'Don' Alias (December 25, 1939 in New York City – March 29, 2006 in New York City) was an American jazz percussionist. Alias was best known for playing congas and other hand drums. He was, however, a capable drum kit performer: for example, Alias played drums on the song ""Miles Runs the Voodoo Down"" from trumpeter Miles Davis's album Bitches Brew (1969) when neither Lenny White nor Jack DeJohnette were able to play the marching band-inspired rhythm requested by Davis. Alias performed on hundreds of recordings, and was perhaps best known for his associations with Miles Davis and saxophonist David Sanborn, though he also performed or recorded with the group Weather Report, singer Joni Mitchell, pianist Herbie Hancock, the Brecker Brothers, Jaco Pastorius, Pat Metheny, Nina Simone and many others. Alias was born in New York City and arrived in Boston in the early 1960s intending to study medicine but, after playing congas in a number of local bands, made an abrupt career switch."
Don Ameche,"Don Ameche (May 31, 1908 – December 6, 1993) was an American actor with a career spanning almost sixty years. After touring in vaudeville, he featured in many biographical films, including The Story of Alexander Graham Bell (1939). He continued to appear on Broadway, as well as on radio and TV, where he was host and commentator for International Showtime, covering circus and ice-shows all over Europe. Ameche remained married to his wife Honore for fifty-four years, and they had six children."
Don Backy,"Don Backy, real name — Aldo Caponi, (born in Santa Croce sull'Arno, 21 August 1939) is an Italian singer and author. He collaborated with Sofia Rotaru for ""Grey Bird"" - Ukrainian version of Italian song ""L'immensità""."
Don Barksdale,"Donald Argee ""Don"" Barksdale (March 31, 1923 – March 8, 1993) was an American professional basketball player. He was a pioneer as an African-American basketball player, becoming the first to be named NCAA All-American, the first to play on a United States men's Olympic basketball team, and the first to play in an National Basketball Association All-Star Game. He was inducted into the Naismith Memorial Basketball Hall of Fame."
Don Bluth,"Donald Virgil ""Don"" Bluth (born September 13, 1937) is an American animator, video game designer and independent studio owner who is best known for his departure from The Walt Disney Company in 1979 and his subsequent directing of animated films such as The Secret of NIMH (1982), An American Tail (1986), The Land Before Time (1988), All Dogs Go to Heaven (1989), and Anastasia (1997), as well as his involvement in the laserdisc game Dragon's Lair. He is also often creditedTemplate:By whom? for providing competition to Disney during the years leading up to the films that would make up the Disney Renaissance. His movies tend toward rougher and more energetic portrayals than that of Disney films. Often, his films also contain a mystical element, with mysterious, unexplainable forces at work throughout them."
Don Bonker,"Don Leroy Bonker (born March 7, 1937, in Denver, Colorado) is an American former congressman for the state of Washington and a Democrat. He served as a member of the United States House of Representatives from 1975 to 1989, representing Washington's third Congressional district. He is a resident of Bainbridge Island, Washington. Bonker attended public schools in Westminster, Colorado. He received his Associate of Arts degree from Clark College in Vancouver, Washington, in 1962; his Bachelor of Arts from Lewis & Clark College in Portland, Oregon, in 1964; and completed graduate work at American University in Washington, D.C. Bonker served in the United States Coast Guard as first class yeoman from 1955 to 1959. He served as aide to United States Senator Maurine Brown Neuberger from 1964 to 1965, Clark County auditor in Vancouver from 1966 to 1974, and as a delegate to Washington State Democratic conventions from 1968 to 1970. Bonker ran for Washington Secretary of State in 1972, but was defeated by incumbent Republican Lud Kramer. Bonker was elected as a moderate Democrat to the 94th and to the six succeeding Congresses (January 3, 1975–January 3, 1989). He did not run for reelection in 1988 so he could run for nomination to the United States Senate, where he narrowly lost in the primary to Democrat Mike Lowry, who was defeated in the general election by Republican Slade Gorton. In 1992, Bonker again ran for a U.S. Senate seat, but was defeated in the primary by the eventual winner, Democratic Senator Patty Murray. In 2000, he ran for Secretary Of State again, winning the party nomination in the primary, but losing in the general to Sam Reed. During his time in the House, Bonker was a senior member of the House Foreign Affairs Committee and chairman of the Subcommittee on International Economic Policy and Trade. He also served on the President's Export Council and headed former House Speaker Tip O'Neill's Trade Task Force, which led to passage of the 1988 Omnibus Trade Act. During his tenure in Congress, Bonker authored and was a principal sponsor of significant trade legislation, such as the Export Trading Company Act and the Export Administration Act. He helped establish the Grays Harbor National Wildlife Refuge and the Mount St. Helens National Volcanic Monument, added Protection Island to the National Wildlife Refuge system, preserved the Point of Arches in the Olympic National Park, added 250,000 acres (1000 km²) to the 1984 Washington Wilderness Act, and banned the export of Western Redcedar. Bonker is now the president and CEO of the International Management and Development Institute, on the board of the Foundation for U.S. -Russia Business Cooperation, and is executive vice president of APCO Worldwide. In 2009, Bonker was the target of significant criticism by Democrats for endorsing Republican Susan Hutchison for King County Executive against Democratic favorite and eventual winner Dow Constantine. He is the author of America's Trade Crisis, published by Houghton Mifflin, and is a writer and speaker on U.S. trade policy. His monthly column on trade policy appears in a number of newspapers around the country. United States House of Representatives Preceded byJulia Butler Hansen Member of the U.S.  House of Representatives from Washington's 3rd congressional district1975–1989 Succeeded byJolene Unsoeld"
Don Brash,"Donald ""Don"" Thomas Brash (born 24 September 1940), a New Zealand politician, was Leader of the Opposition, parliamentary leader of the National Party (the country's main Opposition party at that time) from 28 October 2003 to 27 November 2006 and the leader of the ACT Party for 28 April 2011 – 26 November 2011. Before entering politics, Brash was Governor of the Reserve Bank of New Zealand for 14 years. At the New Zealand general election on 17 September 2005, National under Brash's leadership made major gains, and achieved what was at the time the party's best result since the institution of the mixed member proportional electoral system in 1993, compared to their worst result ever in 2002 under the leadership of his predecessor, Bill English. Final results placed National two seats behind the incumbent New Zealand Labour Party, with National unable to secure a majority from the minor parties to form a governing coalition. In late November 2006 Brash resigned as leader of the National Party, and then from Parliament in February 2007. In October 2008 Don Brash was appointed as an Adjunct Professor of Banking in the Business School at the Auckland University of Technology, and an Adjunct Professor in the School of Economics and Finance at La Trobe University in Melbourne, Australia. On 30 April 2011 Don Brash became the leader of ACT New Zealand after his bid for its leadership was accepted and he was confirmed as leader by the ACT caucus and board. He resigned later that year on 26 November 2011, as his party gained insufficient votes to have another seat for him in the The New Zealand Parliament."
Don Brewer,"Don Brewer (born September 3, 1948 in Flint, Michigan) is the drummer and co-lead singer for American rock band Grand Funk Railroad."
Don Budge,"John Donald (""Don"" or ""Donnie"") Budge (June 13, 1915 – January 26, 2000) was an American tennis champion who was a World No. 1 player for five years, first as an amateur and then as a professional. He is most famous as the first player, male or female, and only American male to win in a single year the four tournaments that comprise the Grand Slam of tennis and second male player to win all four Grand Slams in his career after Fred Perry. He won 10 majors, of which six were Grand Slams (consecutively, male record) and four Pro Slams, the latter achieved on three different surfaces. Budge was considered to have the best backhand in the history of tennis, at least until the emergence of Ken Rosewall in the 1950s and 1960s. Born in Oakland, California, Budge was the son of a Scottish immigrant and former soccer player – his father had played several matches for the Rangers reserve team before emigrating to the United States. Growing up, he played a variety of sports before taking up tennis. He was tall and slim and his height would later help what is still considered one of the most powerful serves of all time. Budge studied at the University of California, Berkeley in late 1933 but left to play tennis with the U.S. Davis Cup auxiliary team. Accustomed to hard-court surfaces in his native California, he had difficulty playing on the grass surfaces in the east. However, a good instructor and hard work changed that and in 1937 he swept Wimbledon, winning the singles, the men's doubles title with Gene Mako, and the mixed doubles crown with Alice Marble. He then went on to win the U. S. National singles and the mixed doubles with Sarah Palfrey Fabyan. He gained the most fame for his match that year against Gottfried von Cramm in the Davis Cup inter-zone finals against Germany. Trailing 1–4 in the final set, he came back to win 8–6. His victory allowed the United States to advance and to then win the Davis Cup for the first time in 12 years. For his efforts, he was named Associated Press Male Athlete of the Year and he became the first tennis player ever to be voted the James E. Sullivan Award as America's top amateur athlete. In 1938 Budge dominated amateur tennis, defeating John Bromwich in the Australian Open final, Roderick Menzel in the French Open, Henry ""Bunny"" Austin at Wimbledon, where he never lost a set, and Gene Mako in the U.S. Open, to become the first person ever to win the Grand Slam in tennis. He also is the youngest man in history to complete the career Grand Slam (the four majors in one's career). He completed that on the 11th of June, 1938 in winning the French Open, two days before his 23rd birthday."
Don Byron,"Don Byron (born November 8, 1958) is an American composer and multi-instrumentalist. He primarily plays clarinet, but has also used bass clarinet and saxophones. Though rooted in jazz, Byron's music is stylistically eclectic. He's worked in many different musical genres, ranging from klezmer music and German lieder, to Raymond Scott's ""cartoon-jazz,"" hard rock/metal, and rap. Most of Byron's albums have been conceptual, devoted to works of a particular musician and/or style of music."
Don Cherry,"Donald Stewart ""Grapes"" Cherry (commonly referred to as Don Cherry) (born February 5, 1934) is a Canadian ice hockey commentator for CBC Television. Cherry co-hosts the ""Coach's Corner"" intermission segment on the long-running Canadian sports program Hockey Night in Canada, and has also worked for ESPN in the United States as a commentator during the latter stages of the Stanley Cup playoffs. He is known for his outspoken manner, flamboyant dress, and staunch Canadian nationalism. Prior to his broadcast career, Cherry was a professional hockey player and National Hockey League coach. He played one game with the Boston Bruins, and later coached them for 5 seasons, starting with Bobby Orr's final 93 games as a Bruin. He is also well known as an author, syndicated radio commentator for the Sportsnet Radio Network, creator of the Rock'em Sock'em Hockey video series, and celebrity endorser. Cherry was voted as the seventh greatest Canadian on the Canadian Broadcasting Corporation's television special, The Greatest Canadian. In March 2010, his life was dramatized in a two-part Canadian Broadcasting Corporation made-for-television movie, Keep Your Head Up, Kid: The Don Cherry Story, based on a script written by his son, Timothy Cherry. In March 2012 CBC aired a sequel, The Wrath of Grapes: The Don Cherry Story II."
Don Cornelius,"Donald Cortez ""Don"" Cornelius (September 27, 1936 – February 1, 2012) was an American television show host and producer who was best known as the creator of the nationally syndicated dance/music franchise Soul Train, which he hosted from 1971 until 1993. Cornelius sold the show to MadVision Entertainment in 2008."
Don Coscarelli,"Don Coscarelli, Jr. (born February 17, 1954) is an American film director, producer and screenwriter best known for horror films. His credits include the Phantasm series, The Beastmaster, and Bubba Ho-Tep."
Don Covay,"Don Covay is an American R&B/rock and roll/soul music singer and songwriter most active in the 1950s and 1960s, who received a Pioneer Award from the Rhythm and Blues Foundation in 1994. His father is a Baptist preacher who died when Don was eight."
Don Davis (composer),"Donald Romain Davis (born February 4, 1957) is an American film score composer, conductor, and orchestrator. Best known for his work on The Matrix, he has worked on a variety of films, from horror to comedy."
Don Ellis,"Don Ellis (July 25, 1934–December 17, 1978) was an American jazz trumpeter, drummer, composer and bandleader. He is best known for his extensive musical experimentation, particularly in the area of unusual time signatures. Later in his life he worked as a film composer, among other works contributing a score to 1971's The French Connection and 1973's The Seven-Ups."
Don Ewell,"Don Ewell (November 14, 1916 – August 9, 1983) was an American jazz stride pianist born in Baltimore, Maryland, perhaps best known for his work with several prominent New Orleans–based musicians such as Sidney Bechet, Kid Ory, George Lewis, George Brunis, Muggsy Spanier and Bunk Johnson. From 1956 to 1962, Ewell was a leading member of the Jack Teagarden band. Following Teagarden's death Ewell did some European tours, and then moved back to New Orleans and played clubs and hotels there. Following his daughter's death from cancer and two strokes, Ewell died on August 9, 1983."
Don Felder,"Donald William ""Don"" Felder (born September 21, 1947) is an American musician and songwriter, best known for his work as lead guitarist for the Eagles from 1974 to 1980 and again from 1994 to 2001."
Don Francisco de Paula Marín,"Don Francisco de Paula Marín (1774–1837) was a Spaniard who became influential in the early Kingdom of Hawaii. Often called Manini, Marini or other variations, he became a confidant of Hawaiian King Kamehameha I. Marín acted as a jack-of-all-trades, sometimes even acting as a physician, probably without any formal education, and is credited with introducing many agricultural products."
Don Gibson,"Donald Eugene ""Don"" Gibson (April 3, 1928 – November 17, 2003) was an American songwriter and country musician. A Country Music Hall of Fame inductee, Gibson penned such country standards as ""Sweet Dreams"" and ""I Can't Stop Loving You"", and enjoyed a string of country hits from 1957 into the early 1970s."
Don Henley,"Donald Hugh ""Don"" Henley (born July 22, 1947) is an American singer, songwriter and drummer, best known as a founding member of the Eagles before launching a successful solo career. Henley was the drummer and lead vocalist for the Eagles from 1971–1980, when the band broke up. Henley sings lead vocals on Eagles hits such as ""Witchy Woman"", ""Desperado"", ""Best of My Love"", ""One of These Nights"", ""Hotel California"", ""Life in the Fast Lane"", and ""The Long Run"". He and Glenn Frey formed one of the most successful songwriting partnerships in music history. After the Eagles broke up in 1980, Henley pursued a solo career and released his debut album in 1982. He has released four studio albums, two compilation albums, and one live DVD. His solo hits include ""Dirty Laundry"", ""The Boys of Summer"", ""All She Wants to Do Is Dance"", ""The Heart of the Matter"", ""The Last Worthless Evening"", ""Sunset Grill"", ""Not Enough Love in the World"", ""New York Minute"" and ""The End of the Innocence"". The Eagles have sold over 120 million albums worldwide, won six Grammy Awards, had five #1 singles, 17 Top 40 singles, and six #1 albums. They were inducted into the Rock and Roll Hall of Fame in 1998 and are the biggest selling American band in history. As a solo artist, Henley has sold over 10 million albums worldwide, had eight Top 40 singles, won two Grammys and five MTV Video Music Awards. Combined with the Eagles and as a solo artist, Henley has released 25 Top 40 singles on the Billboard Hot 100. He has released seven studio albums with the Eagles and four as a solo artist. In 2008, he was ranked the 87th greatest singer of all time by Rolling Stone magazine. Henley has also played a founding role in several environmental and political causes, most notably the Walden Woods Project. Since 1994, he has divided his musical activities between the Eagles and his solo career."
Don Hertzfeldt,"Don Hertzfeldt (born August 1, 1976) is the creator of many animated films, including Everything Will Be OK and the Academy-Award nominated Rejected. His films have received over 200 awards and have been presented around the world. The popularity of Hertzfeldt's work is unprecedented in independent animation. In 2009, the Sundance Film Festival wrote, ""If cinephiles think shorts don't generate the same sort of hype and fanbase as feature films, they obviously haven't heard of Don Hertzfeldt. "" In his book ""The World History of Animation,"" author Stephen Cavalier writes, ""Hertzfeldt is either a unique phenomenon or perhaps an example of a new way forward for individual animators surviving independently on their own terms... he attracts the kind of fanatical support from the student and alternative crowds usually associated with indie rock bands. "" In 2012, Hertzfeldt combined all three chapters of his short film trilogy about a man named Bill (Everything Will Be OK, I Am So Proud of You, and It's Such a Beautiful Day), to create a seamless new feature film out of the story. His first feature film, the movie shares the same title as the third short film in the series, It's Such a Beautiful Day, and went into limited release in movie theaters in autumn 2012. The LA Film Critics Association named it runner-up for Best Animated Feature Film of 2012 and the annual Indiewire critics poll ranked Hertzfeldt the 9th Best Film Director of 2012. The AV Club film critics ranked It's Such a Beautiful Day # 8 on their list of the Best Films of 2012. Hertzfeldt supports himself and his movies entirely from self-distribution, such as ticket sales from theatrical screenings, DVD sales, and television broadcasts. He has refused all advertising work. He has twice gone on nationwide tours in support of new films (a 22-city theatrical tour in support of I Am So Proud of You in 2008-09, and a 30-city tour in support of It's Such a Beautiful Day in 2011-12). ""An Evening with Don Hertzfeldt"" presented a 35mm selection of his work followed by an onstage interview and audience chat with him. Hertzfeldt was the youngest director named in the ""They Shoot Pictures, Don't They"" list of ""The 100 Important Animation Directors"" of all time, and in 2012, Hertzfeldt was ranked # 16 in an animation industry and historian survey of the ""Top 100 Most Influential People in Animation. "" In 2010, he received the San Francisco International Film Festival's ""Persistence of Vision"" Lifetime Achievement Award at the age of 33. Hertzfeldt lives in Austin, Texas. He spent many years in Santa Barbara, California after attending college there. He has kept a continuous blog on his website since 1999."
Don Jamieson (politician),"Donald Campbell Jamieson, PC (April 30, 1921 – November 19, 1986) was a Canadian politician, diplomat and broadcaster. Jamieson was born in St. John's Newfoundland. His father was a newspaper editor, and his grandfather was a fisherman who settled in Newfoundland from Scotland."
Don Mattingly,"Donald Arthur ""Don"" Mattingly (born April 20, 1961) is an American professional baseball first baseman, coach and manager. Mattingly is currently the manager of the Los Angeles Dodgers of Major League Baseball. Nicknamed ""The Hit Man"" and ""Donnie Baseball"", he played for the New York Yankees during his 14-year playing career. Mattingly graduated from Reitz Memorial High School in Evansville, Indiana, and was selected by the Yankees in the amateur draft. Debuting with the Yankees in 1982 after three seasons in minor league baseball, Mattingly emerged as the Yankees' starting first baseman after a successful rookie season in 1983. Mattingly was named to the American League (AL) All-Star team six times. He won nine Gold Glove Awards, three Silver Slugger Awards, and was the 1985 AL Most Valuable Player. Mattingly served as captain of the Yankees from 1991 through 1995, when he retired as a player. Returning to the Yankees as a coach in 2004 for manager Joe Torre, he followed Torre to the Dodgers in 2008, and succeeded him as the Dodgers' manager in 2011. The Yankees retired Mattingly's uniform number after his retirement, and he has received consideration for induction to the National Baseball Hall of Fame, though he has not been elected."
Don Menza,"Don Menza (born April 22, 1936) is an American saxophonist, arranger, composer, session musician, and jazz educator noted for his many contributions to American jazz and big band music."
Don Pardo,"Dominick George ""Don"" Pardo (born February 22, 1918) is an American radio and television announcer. He is known as the voice of the long-running late night sketch comedy show Saturday Night Live. Pardo is noted for his long association with NBC, working as the announcer for early incarnations of such notable shows as The Price Is Right, Jeopardy!, and NBC Nightly News. He has been the announcer of Saturday Night Live for all but one of its seasons. He continues to provide voiceover services during the program's opening montage, several years after his official retirement from NBC."
Don Partridge,"Donald Eric Partridge (27 October 1941 – 21 September 2010) was an English singer and songwriter, known as the ""king of the buskers"". He performed from the early 1960s as a busker and one-man band, and achieved unexpected commercial success in the UK in the late 1960s with the songs ""Rosie"" and ""Blue Eyes""."
Don Pullen,"Don Pullen (December 25, 1941 – April 22, 1995) was an American jazz pianist and organist. Pullen developed a strikingly individual style throughout his career. He composed pieces ranging from blues to bebop and modern jazz. The great variety of his body of work makes it difficult to pigeonhole his musical style."
Don Redman,"Donald Matthew Redman (July 29, 1900 – November 30, 1964) was an American jazz musician, arranger, bandleader and composer. Redman was announced as a member of the West Virginia Music Hall of Fame on May 6, 2009. Redman was born in Piedmont, West Virginia. His father was a music teacher, his mother was a singer. Don began playing the trumpet at the age of 3, joined his first band at 6 and by age 12 he was proficient on all wind instruments ranging from trumpet to oboe as well as piano. He studied at Storer's College in Harper's Ferry and at the Boston Conservatory, then joined Billy Page's Broadway Syncopaters in New York City. (He was the uncle of saxophonist Dewey Redman, and thus great-uncle of saxophonist Joshua Redman and trumpeter Carlos Redman.)"
