name,description
קלאוס הולם,קלאוס הולם (4 באוגוסט 1918-1921 ספטמבר 1996) היהשחקן קולנוע גרמני. 
קלאוס Korth,קלאוס Korth (7 נובמבר 1911-1924 ינואר 1988) היהKorvettenkapitän עםKriegsmarine במהלך מלחמת העולם השנייהומפקד U- 57וU- 93 . 
קלאוס Roxin,קלאוס Roxin (נולד 15 מאי 1931 בהמבורג ) הוא משפטן גרמני. 
קליי אייקן, 
קליי ווקר,ארנסט קלייטון \ קליי \ ווקר ג'וניור (נולד 19 אוגוסט 1969 ) הוא אמן מוסיקת קאנטרי אמריקאי. 
קליאה דובאל,קליאה הלן ד ' אטיין דובאל (נולד 25 ספטמבר 1977 ) הוא שחקנית אמריקנית . 
קלם בורק,קלמנט \ קלם \ בורק (נולד 24 נובמבר 1955 ) הואמוסיקאי אמריקאישהואהמתופף של להקת בלונדי . 
קלמנס של אוסטריה,קלמנס של אוסטריה (1262 - פברואר 1293
קלמנס פון Delbrück,קלמנס ארנסט גוטליב פון Delbrück (נולד 19 ינואר 1856 
קליאו ליין,דאם קליאו ליין 
קליב מולר, 
קליף סיימון,קליף סיימון (נולד ב 7 ספטמבר 1962 ) הואאתלט ושחקן דרום אפריקאי 
קליפורד ד Simak,קליפורד דונלד Simak ( 3 אוגוסט 1904 - 25 אפריל 1988 ) היהסופר המדע בדיוני אמריקאי. 
בעלים קליפורד,הבעלים סר קליפורד Straughn 
קלינט שחור,קלינטון פטריק \ קלינט \ שחור (נולד 4 פבואר 1962 ) הואזמרת וכותבת שירים אמריקאי מוסיקה בארץ 
קלייב ברוק,קליפורד קלייב הרדמן ברוק ( 1 יוני 1887 - 17 נובמבר 1974) היהשחקן קולנוע בריטי. 
קלייב בר,Clive Burr ( 08 de março de 1957 - 12 de março de 2013) foi um baterista Inglês
קלייב דייוויס,קלייב דייוויס (נולד ב 4 אפריל 1932 ) הואמפיק תקליטים ותעשיית המוזיקה אמריקאי. 
קלייב דאן,קלייב רוברט בנימין דאן
Clodomiro פיקאדו Twight,Clodomiro פיקאדו Twight ( 17 אפריל 1887 - 16 מאי 1944) 
קלייד Bruckman,קלייד א Bruckman ( 20 ספטמבר 1894 - 4 בינואר 
קלייד דה Vinna,קלייד דה Vinna (נולד 13 יולי 1890בסדאליה
קלייד Geronimi,קלייד \ ג'רי \ Geronimi (12 ביוני 
שיתוף Adriaanse,יעקובוס \ Co \ Adriaanse הואמאמן כדורגל הולנדיושחקן כדורגל לשעבר.
קוקו מונטויה,קוקו מונטויה (נולד הנרי מונטויה 
קוקו נדווג',קוקו נדווג' (נולד ב 6 דצמבר 1991 ) הואשחקן טניס מקצועי אמריקאי. 
תה קקאו,תה קקאו (נולד קלווין ג'ורג' סקוט 
קודי Eakin,קודי Eakin (נולד 24 מאי 1991 ) הוא שחקן מקצועי הוקי קרח קנדי שבימים אלה משחקים עם הכוכבים דאלאס שלהוקי הליגה הלאומית . 
קואלו נטו,אנריקה Maximiano קואלו נטו (21 בפברואר 
קול טרנר, 
קול יאנגר,תומאס קולמן \ קול \ צעיר ( 15 ינואר 1844 - 21 מרס 1916 ) היהגרילה הקונפדרציה אמריקנית במהלך מלחמת האזרחים האמריקנית 
קולין בייקר,קולין בייקר (נולד 8 יוני 1943 ) הואשחקן בריטי 
קולין בל,קולין בל MBE (26 בפברואר 1946) 
קולין ברג'ס (מוסיקאי),קולין ג'ון ברג'ס (נולד ב 16 נובמבר 1946) הואמוסיקאי אוסטרלי
קולין קלייב,קולין קלייב ( 20 ינואר 1900 - 25 יוני 1937) היהשלב באנגלית ושחקן מסך זכר הטוב ביותר על גילום דמותו של ד\ר פרנקנשטייןבשני סרטי יוניברסל פרנקנשטיין של ג'יימס לווייתן פרנקנשטייןוכלתו של פרנקנשטיין . 
קולין Dann,קולין דן הואסופר אנגלי . 
קולין דקסטר,נורמן קולין דקסטר
קולין פרגוסון (שחקן),קולין פרגוסון (נולד 22 יולי 1972 ) הוא סרט קנדי 
קולין Friels,קולין Friels (נולד 25 ספטמבר 1952 ) הואשחקן אוסטרלי יליד סקוטלנד .
קולין הנקס,קולין הנקס (נולד קולין לואיס Dillingham ; 24 נובמבר 1977 ) ידוע באופן מקצועיכקולין הנקס הוא שחקן אמריקאי . 
קולין הנדרי,אדוארד קולין הנדרי (נולד ב 7 דצמבר 1965 ) הוא מאמןבבלקבורן רוברס 
קולין ג'יימס,קולין ג'יימס (נולד קולין ג'יימס Munn 
קולין מק 'גין,קולין מק 'גין (נולד 10 מרס 1950 ) הואפילוסוף בריטי 
קולין Thiele,קולין מילטון Thiele AC היהסופר ומחנך אוסטרלי. 
קולין טוד,קולין טוד (נולד ב -12 דצמבר 1948) הוא משחק ניהול קבוצת כדורגל אנגלי ושחקן לשעבר. 
קולין ערים,קולין ויליאם הערים ( נולד ב -13 מאי 1948) הואמלחין אנגליוהקלידן . 
קולין וילסון,קולין הנרי וילסון (נולד 26 יוני 1931 ) הואסופר פורה אנגלי שהגיע בפעם הראשונה לגדולה כפילוסוף וסופר . 
קולין הסקל,קולין האסקל מארי (נולד ב 6 דצמבר 1976 ) הואמפיק טלוויזיה אמריקאיושחקנית. 
קולי Buddz,קולי Buddz ( קולין פלאנקט הארפר נולד 21 אוגוסט 1981) הוא אמן רגאיי הידוע בעיקר בזכות הסינגל \ בואו מסביב \ שלו. 
קולין בנג'מין,קולין בנג'מין (נולד 3 אוגוסט 1978בוינדהוק ) הואקשר אחורי כדורגל בנמיביה בגמלאות. 
קולין ריי,פלויד קולין ריי (נולד 22 אוגוסט 1960בDe המלכה 
קוליס פוטר הנטינגטון, 
קולם פאור,קולם פאור (נולד 22 אוגוסט 1958 ) הואשחקן תיאטרון 
קולם מייני,קולם י ' מייני הואשחקן אירי ידועלמשחק מיילס או' ברייןבמסע בין כוכבים : הדור הבאומסע בין כוכבים : חלל עמוק תשע . 
קולום מקאן,קולום מקאן (נולד 28 פבואר 1965 ) הואסופר אירי של סיפורת ספרותית. 
קולומבה של ספרד,סנט קולומבה של ספרד
Compars הרמן,קרל ( Compars ) הרמן ( 1816-1887 ) היהקוסם גרמני. 
צ'י פילגש,פילגש צ'י (נפטר 194 לפנה\ס ) 
Conleth היל,Conleth היל (נולד 24 נובמבר 1964 ) הוא סרט צפון אירי
מחולית סמיית,קונסטנטין פוקלנד קארי סמיית 
קוני בות,קונסטנס \קוני \ בות ( נולדה ב -31 ינואר 1944) היאסופרת 
קוני צ'אנג,קוני צ'אנג 
קוני קורליאונה,Constanzia \קוני \ קורליאונה (בעבר Constanzia קורליאונה - ריצי ) 
קוני מאק,קורנליוס מקגיליקדי 
קוני סמית,קוני סמית ( קונסטנס יוני Meador נולד ; 14 אוגוסט 1941 ) הוא אמן מוסיקת קאנטרי אמריקאי. 
קונור פאולו,קונור פאולו (נולד 11 יולי 1990 ) הוא שחקן אמריקאי הידוע ביותר על תפקידיו כדקלן פורטרבנקמהשל ABC המקורית הסדרהואן דר ואריק Woodsenבסדרת CW צעיר 
קוני Plank,קונרד \ קוני \ Plank (3 במאי 
קונור קייסי,קונור פטריק קייסי ( נולד ב -25 יולי 1981
קונור נילנד,קונור נילנד (נולד 19 ספטמבר 1981 ) הוא שחקן טניס לשעבר אירי מקצועי. 
קונור אוברסט,קונור אוברסט
קונרד אייקן,קונרד אייקן פוטר ( 5 אוגוסט 1889 - 17 אוגוסט 1973 ) היהסופר אמריקאיומשורר
קונרד בלק,קונרד מופאט השחור 
קונרד הול,קונרד הסופר לפקדים הול
קונרד ג'ניס,קונרד ג'ניס (נולד 11 פבואר 1928 ) הואמוסיקאי אמריקאי ג'אז ( טרומבון )וגםתיאטרון
קונרד Laar,קונרד פיטר Laar ( 22 מרס 1853 - February 11 1929) היה כימאי גרמני. 
קונרד Lant,קונרד תומאס Lant (aka Cronos ) (נולד ב 15 ינואר 1962 ) הוא מוסיקאי בריטי שהוא שחקן הזמרובס שלארס להקת בלאק מטאל / ת'ראש ההשפעה
קונרד שומאן,האנס קונרד שומאן ( 28 מרס 1942 - 20 ביוני 1998) היהחייל גרמני במזרח שערק מפורסם למערב גרמניה במהלך בנייתה של חומת ברלין בשנת 1961.
קונרד ויידט,האנס וולטר קונרד ויידט (22 ינואר 1893-3 אפריל 1943) היושחקן גרמני זכור בעיקר בזכות תפקידיובסרטים כמוהקבינט של ד\ר קליגרי ( 1919) 
קונרד של קונסטנס,סנט קונרד של קונסטנץ (כ 900 - 26 נובמבר 975 ) היה בישוףוקדוש.
קונסטנס לויד, 
קונסטנס כסף,קונסטנס הכסף היה שחקןבסרטים פורנוגרפיים הארדקור במהלך 1970s and 80s . 
קונסטנס מור,קונסטנס מור ( 18 ינואר 1920 
קונסטנס של צרפת,קונסטנס של צרפת (1124-1176) היה בתו היחידה של לואי השישי
Djakpa המתמיד,Djakpa המתמיד (נולד 17 אוקטובר 1986 ) הואהמגן כדורגל מחוף שנהב שמשחקכעזב בחזרהלאיינטרכט פרנקפורט .
Joacim המתמיד,Joacim הקבוע היהכדורגלן בלגי נולד 3 מרס 1908בBerchem 
קונסטנטין סטניסלבסקי,קונסטנטין סרגייביץ' סטניסלבסקי היהשחקן ובמאי תיאטרון רוסי . 
קונסטנטין Ticu דומיטרסקו,קונסטנטין - גריגורה דומיטרסקו 
קונסטנטין,הנסיך פרידריך וילהלם קונסטנטין הרמן Thassilo הוהנצולרן - הכינגן היההנסיך האחרון של הוהנצולרן - הכינגן . 
קונסטנטין Andreou,קונסטנטין Andreou ( 24 מרס 1917 - 8 אוקטובר 2007 ) היה צייר ופסל ממוצא יווני עם קריירה מוצלחת ביותרשהקיפה שישה עשורים. 
קונסטנטין ברונו, 
קונסטנטין קאנאריס,קונסטנטין קאנאריס או קנאריס (1793 או 1795 - 2 ספטמבר 1877 ) היהראש ממשלת יוון 
קונסטנטין Mavrocordatos,קונסטנטין Mavrocordatos היהיווני אציל ששימשו נסיך ולאכיהונסיך מולדביהבכמה מרווחים . 
קונסטנטין פיפס ,קונסטנטין הנרי פיפס 
קונסטנטינוס Christoforou, 
Coo Coo מרלין,קליפטון \ Coo Coo \ מרלין (3 בינואר 
Coosje ואן ברוגן,Coosje ואן ברוגן (6 ביוני 1942 - 10 ינואר 2009 ) היה פסל 
cor Veldhoen,Cor Veldhoen (נולד ב 6 אפריל 1939ברוטרדם - הפטירה 11 אוקטובר 2005) הוא כדורגלן הולנדי לשעבר
קורל בראון,קורל בראון ( 23 יולי 1913 - 29 מאי 1991) היהשלב אוסטרלי אמריקאי ושחקנית מסך.
קורי אלן,קורי אלן (29 ביוני 
קורי Duffel,קורי תרמיל הואמחליקמWalnut Creek 
קורי האריס,קורי האריס הואמוסיקאי בלוז ורגאיי אמריקאים
קורי לוק,קורי לוק (נולד ב 8 מאי 1984 ) הואשחקן הוקי קרח מקצועי בקנדה . 
קורי מאי,קורי מאי הוא המייסדוהנשיא של הפקות Sekretagent 
קורי פרי,קורי פרי (נולד 16 מאי 1985 ) הואמשחק אגפים מקצועיים קנדי הוקי קרח כיום משחקיםלאנהיים דאקס של הליגה הלאומית להוקי ( NHL). 
קורי טיילור,קורי טוד טיילור (נולדה ב 8 דצמבר 1973 ) היאמוסיקאי אמריקאי הידוע בעיקרכסולן והכותב של סליפנוטוסטון חמוץ . 
קורין נימקה,קורין \ קורקי \ נימק (נולד יוסף צ'ארלס נימק IV; 5 נובמבר 1971 ) הוא שחקן אמריקאי . 
קורינה Dentoni,קורינה Dentoni (נולד 30 יולי 1989 ) הוא שחקן טניס איטלקי מקצועי. 
קורקי ליינג,לורנס גורדון \ קורקי \ ליינג (נולד 26 ינואר 1948 ) הואמתופף רוק קנדי ​​
קורמק מרפי - אוקונור,קורמק מרפי - אוקונור (נולד 24 אוגוסט 1932 ) הואקרדינל שלהכנסייה הקתולית 
קורניי ( הזמר),קורנליוס Nyungura (נולד ב 24 מרס 1977) הוא זמר שמבצע תחת שם קורניי. 
קורנל והסט,קורנל רונלד המערבי (נולד ב 2 יוני 1953 ) הואפילוסוף אמריקאי 
קורנל ויילד,קורנל ויילד ( 13 אוקטובר 1912 - 16 אוקטובר
קורנליה פייפר,קורנליה פייפר (נולד 4 פבואר 1959 בהאלה
קורנליוס Pietersz Bega,קורנליוס Pietersz Bega 
קורנליו Coposu,קורנליו ( קורנל ) Coposu היה פוליטיקאי רומני שמרני.
קורנל קאפה,קורנל קאפה ( 10 אפריל 1918 - 23 מאי 2008) הייתה צלם הונגרי אמריקאי
קוראדו ursi,קוראדו ursi ( 26 יולי 1908 - 29 אוגוסט 2003) היהכומר איטלקי שלהכנסייה הקתולית. 
קורי Lidle,קורי פולטון Lidle ( 22 מרס 1972 - 11 אוקטובר 2006) היהשחקן בייסבול מקצועי אמריקאי. 
קוזמו קליין,קוזמו קליין (נולד מרקוס קליין ב -1 בנובמבר 
הכותנה Fitzsimmons,לואל \כותנה \ Fitzsimmons ( 7 אוקטובר 1931 - 24 יולי 2004) היהבמכללהומאמן כדורסל ב-NBA . 
הכותנה היל,הכותנה היל ( נולד בספטמבר 1
רוזן יוהן ברנהרד פון Rechberg und Rothenlöwen, 
רוזן קרל לאופולד פון שליבן,רוזן קרל לאופולד פון שליבן (גרמנית : קארל לאופולד גרף פון שליבן 
רוזן קרל זיגמונד פון Hohenwart,רוזן קרל זיגמונד פון Hohenwart (גרמנית : קארל הגרף פון Hohenwart ) . (12 בפברואר 1824
רוזן ליאופולד Berchtold,ליאופולד ( אנטון יוהן זיגיסמונד יוסף Korsinus פרדיננד ) גרף Berchtold פון und zu Ungarschitz 
רוזן ניקולאי Adlerberg,רוזן ניקולאי ולדימירוביץ' Adlerberg ( Николай Владимирович Адлерберг ) ( 1819-1892 ) 
רוזן אוטוקאר פון צ'רנין,אוטוקאר ( תיאובאלד אוטו מריה ) הגרף צ'רנין פון und zu Chudenitz (צ : Otakar תיאובאלד אוטו מריה הראבה Černín z Chudenic ) ( 26 ספטמבר 1872 - 4 באפריל 1932) 
רוזנת פרנציסקה קינסקי של WchinitzוTettau,Franziska Kinsky princesa consorte de Liechtenstein {{
אריה פחדן,הפחדן האריה היא דמות בארץ הבדיונית של עוז שנוצרה על ידי סופר האמריקאי פרנק באום . 
הקאובוי Copas,לויד Estel Copas ( 15 יולי 1913 - 5 במרץ 
קופר פיפס קולס,קפטן קופר פיפס קולס
Coxsone דוד,קלמנט סימור \אדוני Coxsone \ דוד התקליטור ( קינגסטון 
קול נעים,Cozy Cole ( 17 out 1909 - 09 de janeiro de 1981 ) foi um baterista de jazz americano que marcou um
פאוול נעים,קולין Flooks (29 דצמבר 1947-5 אפריל 1998) 
קרייג אנדרסון ( הוקי קרח),קרייג אנדרסון (נולד 21 מאי 1981 ) הואgoaltender הוקי קרח המקצועי אמריקאי . 
קרייג פרוסט,Craig Frost ( nascido em 20 de abril de 1948 Flint
קרייג גולדי,קרייג גולדי (נולד ב 6 נובמבר 1961 ; סינסינטי
קרייג למאר Traylor,קרייג למאר Traylor (נולד 19 מרס 1989במחוז סן ברנרדינו 
קרייג מסמרה,קרייג א Rivet (נולד 13 ספטמבר 1974 ) הואdefenseman מקצועי קנדי הוקי קרח כרגע משחק עלהתנים אלמירה שלECHL . 
קרייג רוס,קרייג דיוויד רוס הואגיטריסט אמריקאי הידוע ביותר לביצועוהקלטה עם לני קרביץ .
קרייג ראסל ( סופר בריטי ),Craig Russell é um escritor britânico 
קריס קיץ,קריס הקיץ Francks (נולד ב 7 יולי 1969 ) 
כריסטיאן זפאטה,כריסטיאן זפאטה אדוארדו ולנסיה היא כדורגלן מקצועי קולומביאני. 
קריסטי פויו,קריסטי פויו ( נולד ב -3 באפריל 1967) הוא במאי קולנוע רומני ותסריטאי. 
כריסטיאן Brocchi,כריסטיאן Brocchi הואכדורגלן איטלקי שמשחק כעת ללאציו . 
כריסטיאן ריברוס,כריסטיאן ריברוס יגל נונייז (נולד 16 אוקטובר 1982בחואן אוגוסטו Saldívar ) הוא כדורגלן פרגוואי שמשחקלצד תורכי קייסריספור # # Kayserispor .
כריסטיאן רודריגז,כריסטיאן גבריאל רודריגז Barotti (נולד 30 ספטמבר 1985 ) הוא כדורגלן מקצועי אורוגוואי שמשחק עבור אתלטיקו מדריד בספרד 
גביש Mckellar,גביש השחר סקריפס Mckellar (אוגוסט נולד 16
קישור קובני,פליקס דלגאדו (נולד 18 דצמבר 1974 ) 
Cumrun ואפה,Cumrun ואפה הואתיאורטיקן האיראני האמריקאי מוביל מחרוזתמאוניברסיטת הרווארד שבו הוא התחיל כהרווארד Junior עמית . 
קורט Bois,קורט Bois (5 באפריל 
קורט Faudon,קורט Faudon הואבמאי קולנוע אוסטרי שכתב 
קורט מאייר,קורט מאייר (19 נובמבר 1919-1918 אפריל 2011) היה מתמטיקאי גרמני. 
קורט Netto,קורט Netto (אוגוסט 21
קורט סוואן,דאגלס קרטיס סוואן ( 17 פבואר 1920 - 17 יוני 1996 ) היהאמן אמריקאי קומיקס. 
קורט פון פרנסואה, 
קרטיס Granderson,קרטיס Granderson ג'וניור (נולד 16 מרס 1981 ) הואשחקן האמריקאי מייג'ור ליג בייסבול (MLB )לניו יורק יאנקיז . 
קרטיס מייפילד,קרטיס מייפילד לי (3 ביוני 
קרטיס McElhinney,רוברט קרטיס McElhinney (נולד ב 23 מאי 1983) הואשחקן הוקי קרח מקצועי קנדי עםפלקונס ספרינגפילד שלליגת הוקי האמריקנית. 
Cus ד 'אמאטו,קונסטנטין \ Cus \ ד 'אמאטו ( 17 ינואר 1908 - 4 בנובמבר 
קת'ברט קולינגווד ,סגן אדמירל קת'ברט קולינגווד 
קת'ברט Tunstall,קת'ברט Tunstall ( מאוית אחרת Tunstal או Tonstall ; 1474 - 18 בנובמבר 1559) היהScholastic אנגלית
קת'ברט של קנטרברי,קת'ברט (נפטר 26 760 אוקטובר) היהאנגלו סכסון ארכיבישוף של קנטרברי בימי הביניים באנגליה. 
סיי Denneny,סיריל ג'וזף Denneny ( 23 דצמבר 1891 - 10 ספטמבר 1970) היההוקי קנדי מקצועי קרח קדימה ששיחקבאוטווה סנטורסובוסטון ברוינסבהוקי הליגה הלאומיתוBlueshirts טורונטו שלהאגודה הלאומית להוקי . 
סיביל שפרד,סיביל לין שפרד (נולד 18 פבואר 1950 ) הוא שחקנית אמריקנית 
קיקלופ (קומיקס ),Ciclope é um personagem fictício 
סיפריאן Ekwensi,סיפריאן Ekwensi המימון המינימלי הנדרש (26 ספטמבר 1921-4 נובמבר 2007) היה סופר סיפור קצר ניגריומחברם של ספרי ילדים.
סיריל דומב,סיריל דומב FRS (9 בדצמבר 1920-1915 פברואר 2012) היהפיזיקאי תיאורטי להכרה בינלאומית הידוע בעיקר בזכות ההרצאותוכותב על התאוריה של מעבר פאזה ותופעות קריטיות של נוזלים. 
סיריל מרץ Baselios, 
סיריל רדקליף ,סיריל ג'ון רדקליף
סיריל רפאלי,סיריל רפאלי ( נולד ב -1 באפריל 1974) הואtraceur צרפתי
סיריל טבעת,סיריל הטבעת ( 5 דצמבר 1892 - 17 ביולי 1967) היהשחקן קולנוע אמריקאי. 
סיריל סוק, 
סיירוס ואנס,סיירוס ואנס רוברטס ( 27 מרס 1917 - 12 ינואר 
צ'סלב ניימן, 
דזירה קלארי,Bernardine יוג'ין דזירה קלארי ( 8 נובמבר 1777 - 17 דצמבר 1860) 
דונאל Lunny,דונאל Lunny (נולד ב -10 מרס 1947) הואמוסיקאי עממי אירי. 
ד ב ' קופר,DB Cooper é um epíteto mídia popularmente usada para se referir a um homem não identificado que sequestrou um avião Boeing 727 no espaço aéreo entre Portland 
ד י קארוזו,דניאל ג 'ון \ DJ \ קארוזו ג'וניור ( נולד בינואר 17 1965) הואבמאי ומפיק אמריקאי. 
ד י פונטנה, 
ד י מלך,דוויין \ DJ \ המלך (נולד 27 יוני 1984 ) הואהוקי קרח מקצועי קנדי עזב קיצוני כרגע לשחק עםשלטון אונטריו שלECHL .
די.בי. סי פייר,די.בי. סי פייר (נולד פיטר פינלי ) הוא סופר ידוע ברומן שלו ורנון אלוהים הקטן . 
DJ אנטואן,אנטואן קונרד (נולד 23 יוני 1975 ) 
תקיפה DJ,קרייג דה שון אדמס (אוקטובר נולד
DJ Clue ?,ארנסטו שו (נולד 8 ינואר 1975 ) ידוע יותר בשם DJ Clue ? 
DJ קואלס,דונלד יוסף \ DJ \ קואלס (נולד 10 יוני 1978 ) הוא שחקן אמריקאיוקומיקאי ידוע על עבודתו בסרטים כמו הבחור החדש 
Da- וון סאן,שמש Dawen 
דדו ( צייר ),דדו (נולדכMiodrag Djuric 
דדו Pršo,Miladin \ דדו \ Pršo (נולד ב -5 בנובמבר 1974 בזאדאר ) הוא כדורגלן מקצועי לשעבר קרואטי ששיחק כחלוץ . 
דגמר להובה,דגמר להובה (נולד ב 8 מרס 1949 ) 
דגמר Käsling,דגמר Käsling (נולד 15 פבואר 1947במגדבורג ) הואספורטאי מזרח גרמני לשעבר
דאגמארה Dominczyk,דאגמארה Domińczyk (נולד 17 יולי 1976 ) היא שחקנית פולנית אמריקנית .
דאהר אל עומר,דאהר אל עומר (ערבית ظاهر آل عمر الزيداني דאהר אל עומאר ʿ AZ- zaydānī 
הדליה רביקוביץ,הדליה רביקוביץ היהמשורר ישראלי 
דאי גרין,דוד \ דאי \ גרין (נולד 11 אפריל 1986 ) הואhurdler וולשית המתמחהבאירוע מכשולים 400 מטריםומתחרה בעולם עבור שניהם וויילס ואנגליה . 
דאי Sijie,דאי Sijie הואסופר ובמאי סיני צרפתי.
דייזי בייטס (אוסטרליה ),דייזי מאי בייטס
דייזי די,דזירה Rollocks (הידוע גם דייזי די
דייזי פון Scherler מאייר,דייזי פון Scherler מאייר
דייל בראון,דייל בראון (נולד ב 2 נובמבר 1956 ) הואסופר אמריקאיוטייס 
דייל קרנגי,דייל קרנגי Breckenridge (במקור Carnagey עד 1922 ואולי מאוחר יותר במקצת ) ( 24 נובמבר 1888 - 1 בנובמבר 
דייל ארנהארט ג'וניור,NOTA: As referências a \ Earnhardt \
דייל אוונס,דייל אוונס (נולד וסיל עץ סמית ; 31 אוקטובר 1912 - 7 פבואר 2001 ) היהסופר אמריקאי 
דייל פק,דייל פק ( נולד ב -1967 בלונג איילנד
דמיאן Kratzenberg,דמיאן Kratzenberg (5 בנובמבר 
דמיאן ברודריק,דמיאן פרנסיס ברודריק (נולד 22 אפריל 1944 ) הואסופר המדע בדיוניומדע הפופולרי באוסטרליה ועורך של יותר מ 50 ספרים. 
דמיאן לה Tallec,דמיאן לה Tallec (נולד 19 אפריל 1990בPoissy ) הוא שחקן כדורגל צרפתי כרגע לשחק עבור מועדון אוקראיני Hoverla אוז'הורודבליגת העל האוקראיני. 
דן Abnett,דן Abnett (נולד 12 אוקטובר 1965 ) הוא סופר קומיקס בריטי וסופר . 
דן בארקר,דן בארקר (נולד 25 יוני 1949 ) הוא פעיל אתיאיסט אמריקאי בולטת ששירתו כמטיף ומוסיקאי נוצריל19 שנים
דן Bylsma,דניאל בריאן Bylsma הוא שחקן הוקי מקצועי לשעבר שהוא כיום המאמן הראשי שלפיטסבורג פינגווינסמליגת הוקי הלאומית ( NHL). 
דן מעילים,דניאל ריי \ דן \ מעילים (נולדו 16 מאי 1943 ) הואארצות הברית הסנטור הבכיר מאינדיאנהוחבר במפלגה הרפובליקנית. 
דן Colen,דניאל Colen היא אמנית המבוססת בניו יורק. 
דן קרטיס,דן קרטיס (12 באוגוסט 
דן דוריה,דן דוריה ( 23 ינואר 1907 - 7 ביוני 
דן אליס,דניאל אליס (נולד 19 יוני 1980 ) הואgoaltender הוקי קרח מקצועי קנדי שמשחק כעתלקרוליינה הוריקנס שלהוקי הליגה הלאומית . 
דן פוגלר,דניאל קווין \ דן \ פוגלר (נולד 20 אוקטובר 1976 ) הואקומיקאי אמריקאי בעמידה 
דן גרהם,דניאל \ דן \ גראהם ( נולד ב -31 מרס 1942) הואאמן אמריקאי 
דן חלוץ,דן החלוץ הוארב אלוף חיל אווירורמטכ\ל לשעבר של צבא ההגנה לישראלומפקדחיל האוויר הישראלי. 
דן מרינו,דניאל קונסטנטין מרינו ג'וניור (נולד 15 ספטמבר 1961 ) הואהקוורטרבק פוטבול אמריקאי לשעבר
דן מורגנשטרן,דן מורגנשטרן הוא מבקר ג'אזוספרנית. 
דן אוסמן,דניאל יוג'ין אוסמן ( 11 פבואר 1963 - 23 נובמבר 1998 ) היהרופא יפני האמריקאי קיצוני ספורט
דן פיטרס,דניאל ג'ו פיטרס (נולד 18 אוגוסט 1967 ) הואמתופף מאדהאני . 
דן ראדר,דניאל ארווין \ דן \ במקום זאת
דן רודס,דן רודס (נולד 1972) הואסופר אנגלי 
דן סגל,דניאל סגל ( נולד 1947) הואמתמטיקאי בריטיופרוף למתמטיקהבאוניברסיטת אוקספורד. 
דן Slobin, 
דנה Elcar,דנה Elcar ( 10 אוקטובר 1927 - 6 ביוני 2005) היהבטלוויזיה אמריקניתושחקן אופי סרט. 
דנה גילספי,דנה גילספי (נולד Richenda אנטואנט דה Winterstein גילספי 
דנה Jurásková,דנה Jurásková (נולד 21 ספטמבר 1961 ) הוא פוליטיקאי צ'כי. 
דנה אפלטון,דנה מישל אפלטון ( 7 נובמבר 1964 - 8 במאי 1999) היהשחקנית אמריקנית בולטתלמשחק את התפקיד של קימברלי דראמונדבסיטקום הטלוויזיה בארה\ב Diff'rent הסטרוקס . 
דנה סקוט,דנה סטיוארט סקוט (אוקטובר נולד 11 1932 ) הואאמריטוס הילמן הפרופסור באוניברסיטה למדעי מחשב
דיין קוק,הדני ג'פרי קוק (נולד 18 מרס 1972 ) הואסטנדאפיסט אמריקאיושחקן קולנוע . 
הדני Zajc,הדני Zajc ( 26 אוקטובר 1929 - 20 אוקטובר 2005) היה משורר ומחזאי הסלובני . 
דני Filth,דני Filth (נולד דניאל לויד דייבי 
דני קליין,דניאל Schoovaerts (נולד 1 ינואר 1953 ) 
דני לוי,דני לוי הואיצרנית סרט
Danica Mckellar,Danica מיי Mckellar (נולד ב 3 ינואר 1975 ) הוא שחקנית אמריקנית 
Danica פטריק,Danica Sue Patrick ( nascido em 25 de março de 1982) é um americano de automobilismo motorista
דניאל בולדווין,דניאל הירוי בולדווין (אוקטובר נולד 5 
דניאל ברגמן,דניאל סבסטיאן ברגמן הוא במאי קולנוע שוודי. 
דניאל Biasone,דניאל Biasone 22 (בפברואר 1909 - 25 מאי 1992 ) היה הבעלים המייסדים שלאזרחיה סירקיוז
דניאל ברנהם,דניאל הדסון ברנהם 
דניאל קרלטון גאדושק,דניאל קרלטון גאדושק (מבוטא GUY - dah שק ; 9 ספטמבר 1923 - 12 דצמבר 2008) היה רופא ˙ - סלובקי אמריקאי הונגרי וחוקר רפואי שהיהשיתוף חתן פרס נובל לפיזיולוגיה ורפואה בשינה 1976 עבור 
דניאל Chanis Pinzon,ד\ר דניאל Chanis Pinzon (20 נובמבר 1892 בפנמה סיטי - 2 ינואר 1961) היה פוליטיקאיורופא פנמי . 
דניאל Comboni,דניאל Comboni (15 במרץ 1831-1810 1881 אוקטובר) היה מיסיונר קתוליוקדוש .
דניאל תומפקינס,דניאל תומפקינס (21 ביוני 1774 - 11 יוני 1825 ) היההמושל הרביעי של ניו יורק ( 1807-1817 ) 
דניאל דה לאון,דניאל דה ליאון ( 14 דצמבר 1852 - 11 מאי 1914) היהעורך עיתון סוציאליסטי אמריקאי 
דניאל Ducruet,דניאל Ducruet (נולד 27 נובמבר 1964 ) הואהבעל לשעבר של HSH נסיכת סטפני ממונקו 
דניאל פרנסואה מלן,דניאל פרנסואה מלן (22 במאי 1
דניאל פרוהמן,דניאל פרוהמן ( 22 אוגוסט 1851 - 26 דצמבר 1940) היה מפיק יהודי אמריקאי תיאטרלי ומנהל 
